text,label
"Our company is hiring a new Virtual Assistant. Requirements: 3+ years experience, bachelor's degree. Comprehensive benefits package included.",0
"Dear applicant, to secure your Data Entry Clerk role and receive your company laptop, kindly transfer ₹999 to our vendor.",1
Internship available in the marketing department. This is a paid position. Submit your application through the university portal.,0
Congratulations! You've been selected for a remote Software Engineer position. Please pay a refundable registration fee of ₹1500 to proceed.,1
"Want to be a Data Analyst? Join our exclusive network. Only ₹1500 to sign up and start making ₹1,00,000 daily!",1
Job Opening: Customer Support Rep at our downtown office. Responsibilities include managing projects and collaborating with the team. Apply on our website.,0
"URGENT: We are urgently hiring for Customer Support Rep. Pay is $10,000 per month. Contact HR via WhatsApp at +44-7700-900077 immediately.",1
Job Opening: Data Analyst at our downtown office. Responsibilities include managing projects and collaborating with the team. Apply on our website.,0
Exclusive offer: Make $500/day a week doing simple tasks. Must pay $50 for the training materials first.,1
Internship available in the marketing department. This is a paid position. Submit your application through the university portal.,0
Job Opening: Freelance Writer at our downtown office. Responsibilities include managing projects and collaborating with the team. Apply on our website.,0
SHOCKING! Customer Support Rep making $500/day from home using this one secret trick. Click here to claim your spot.,1
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
"Exciting opportunity for a HR Manager. Competitive salary, health insurance, and 401k matching. See our careers page for details.",0
"SHOCKING! Marketing Assistant making $5,000 from home using this one secret trick. Click here to claim your spot.",1
Now hiring full-time Freelance Writer. Standard background check required. Please submit your resume to jobs@ourcompany.com.,0
Job Opening: Customer Support Rep at our downtown office. Responsibilities include managing projects and collaborating with the team. Apply on our website.,0
"Our company is hiring a new Virtual Assistant. Requirements: 3+ years experience, bachelor's degree. Comprehensive benefits package included.",0
Want to be a HR Manager? Join our exclusive network. Only a small fee to sign up and start making ₹5000/day daily!,1
Work from home data entry jobs available. Earn massive income daily. No experience needed! Click link to register and pay ₹999 equipment fee.,1
We are looking for a qualified Virtual Assistant to join our team. Please apply via our official portal. Salary is commensurate with experience.,0
"URGENT: We are urgently hiring for Customer Support Rep. Pay is ₹1,00,000 per month. Contact HR via WhatsApp at Telegram @hr_desk immediately.",1
"Our company is hiring a new HR Manager. Requirements: 3+ years experience, bachelor's degree. Comprehensive benefits package included.",0
"Our company is hiring a new Virtual Assistant. Requirements: 3+ years experience, bachelor's degree. Comprehensive benefits package included.",0
"Exciting opportunity for a Virtual Assistant. Competitive salary, health insurance, and 401k matching. See our careers page for details.",0
Congratulations! You've been selected for a remote Data Analyst position. Please pay a refundable registration fee of ₹1500 to proceed.,1
Congratulations! You've been selected for a remote Virtual Assistant position. Please pay a refundable registration fee of $199 to proceed.,1
Job alert! Immediate start. Must have Telegram and WhatsApp. Message +1-555-0192 for details. Unbelievable pay!,1
"SHOCKING! HR Manager making ₹50,000 from home using this one secret trick. Click here to claim your spot.",1
Job alert! Immediate start. Must have Telegram and WhatsApp. Message Telegram @hr_desk for details. Unbelievable pay!,1
Work from home data entry jobs available. Earn massive income daily. No experience needed! Click link to register and pay ₹999 equipment fee.,1
We are looking for a qualified Virtual Assistant to join our team. Please apply via our official portal. Salary is commensurate with experience.,0
"URGENT: We are urgently hiring for Data Analyst. Pay is ₹1,00,000 per month. Contact HR via WhatsApp at Telegram @hr_desk immediately.",1
We are expanding! Seeking a dedicated Marketing Assistant. Must have excellent communication skills. Apply online.,0
Exclusive offer: Make massive income a week doing simple tasks. Must pay a small fee for the training materials first.,1
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
"Dear applicant, to secure your Data Analyst role and receive your company laptop, kindly transfer a small fee to our vendor.",1
"Dear applicant, to secure your Data Analyst role and receive your company laptop, kindly transfer a small fee to our vendor.",1
"Software Engineer II required. Python, AWS, and SQL experience needed. Remote work options available.",0
"Our company is hiring a new Marketing Assistant. Requirements: 3+ years experience, bachelor's degree. Comprehensive benefits package included.",0
Now hiring full-time Data Entry Clerk. Standard background check required. Please submit your resume to jobs@ourcompany.com.,0
"Dear applicant, to secure your Virtual Assistant role and receive your company laptop, kindly transfer ₹1500 to our vendor.",1
Job Opening: Freelance Writer at our downtown office. Responsibilities include managing projects and collaborating with the team. Apply on our website.,0
Want to be a HR Manager? Join our exclusive network. Only ₹999 to sign up and start making massive income daily!,1
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
Internship available in the marketing department. This is a paid position. Submit your application through the university portal.,0
We are expanding! Seeking a dedicated Data Entry Clerk. Must have excellent communication skills. Apply online.,0
"Software Engineer II required. Python, AWS, and SQL experience needed. Remote work options available.",0
"Software Engineer II required. Python, AWS, and SQL experience needed. Remote work options available.",0
We are looking for a qualified Freelance Writer to join our team. Please apply via our official portal. Salary is commensurate with experience.,0
We are expanding! Seeking a dedicated Data Analyst. Must have excellent communication skills. Apply online.,0
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
"Dear applicant, to secure your Data Entry Clerk role and receive your company laptop, kindly transfer ₹1500 to our vendor.",1
Job alert! Immediate start. Must have Telegram and WhatsApp. Message Telegram @hr_desk for details. Unbelievable pay!,1
"Exciting opportunity for a Data Entry Clerk. Competitive salary, health insurance, and 401k matching. See our careers page for details.",0
Internship available in the marketing department. This is a paid position. Submit your application through the university portal.,0
"Exciting opportunity for a Data Analyst. Competitive salary, health insurance, and 401k matching. See our careers page for details.",0
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
We are looking for a qualified Freelance Writer to join our team. Please apply via our official portal. Salary is commensurate with experience.,0
Job alert! Immediate start. Must have Telegram and WhatsApp. Message Telegram @hr_desk for details. Unbelievable pay!,1
"Exciting opportunity for a Data Analyst. Competitive salary, health insurance, and 401k matching. See our careers page for details.",0
"Exciting opportunity for a Data Entry Clerk. Competitive salary, health insurance, and 401k matching. See our careers page for details.",0
We are looking for a qualified Data Entry Clerk to join our team. Please apply via our official portal. Salary is commensurate with experience.,0
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
Congratulations! You've been selected for a remote HR Manager position. Please pay a refundable registration fee of ₹1500 to proceed.,1
Internship available in the marketing department. This is a paid position. Submit your application through the university portal.,0
Work from home data entry jobs available. Earn massive income daily. No experience needed! Click link to register and pay ₹1500 equipment fee.,1
"URGENT: We are urgently hiring for Data Entry Clerk. Pay is $5,000 per month. Contact HR via WhatsApp at +1-555-0192 immediately.",1
Exclusive offer: Make ₹5000/day a week doing simple tasks. Must pay $199 for the training materials first.,1
"Want to be a Data Analyst? Join our exclusive network. Only ₹499 to sign up and start making $10,000 daily!",1
Congratulations! You've been selected for a remote Marketing Assistant position. Please pay a refundable registration fee of ₹499 to proceed.,1
"Software Engineer II required. Python, AWS, and SQL experience needed. Remote work options available.",0
Exclusive offer: Make massive income a week doing simple tasks. Must pay ₹1500 for the training materials first.,1
"Work from home data entry jobs available. Earn $5,000 daily. No experience needed! Click link to register and pay $199 equipment fee.",1
"Software Engineer II required. Python, AWS, and SQL experience needed. Remote work options available.",0
SHOCKING! Customer Support Rep making massive income from home using this one secret trick. Click here to claim your spot.,1
"Want to be a Data Entry Clerk? Join our exclusive network. Only ₹999 to sign up and start making ₹50,000 daily!",1
Job Opening: Data Analyst at our downtown office. Responsibilities include managing projects and collaborating with the team. Apply on our website.,0
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
Your application was accepted! We need your bank details and social security to set up direct deposit. Send them to this email.,1
Work from home data entry jobs available. Earn ₹5000/day daily. No experience needed! Click link to register and pay ₹1500 equipment fee.,1
We are expanding! Seeking a dedicated Marketing Assistant. Must have excellent communication skills. Apply online.,0
"Software Engineer II required. Python, AWS, and SQL experience needed. Remote work options available.",0
Congratulations! You've been selected for a remote Customer Support Rep position. Please pay a refundable registration fee of $50 to proceed.,1
